Name,Gender,Race,Age,Phone Number,Date of Birth,Aadhar Number,Address,State
manojyadav manoj,Female,Indian,53,8954520089,18-5-1969,7080 0000 0000,"H.No. 06, Bhatnagar Marg
Siwan 832044",Chhattisgarh
komal,Male,Indian,67,8472836029,8-10-1955,1110 0000 0000,"400, Kala Chowk
Kalyan-Dombivli 552696",Tamil Nadu
rakeshsarkar,Male,Indian,36,5680777788,14-3-1986,7440 0000 0000,"133, Keer Zila
Khora -387675",Bihar
sneha,Male,Indian,14,7412338143,8-1-2008,2320 0000 0000,"H.No. 618, Ganguly
Kolhapur 152197",Madhya Pradesh
sandhya,Female,Indian,20,7095331961,25-3-2002,6530 0000 0000,"41/27, Raja Chowk
Bally 823141",Punjab
archna,Female,Indian,70,7000041109,23-2-1952,1210 0000 0000,"03, Sahota Road, Salem 255671",Chhattisgarh
rahul,Female,Indian,94,9070084278,9-1-1928,2630 0000 0000,"H.No. 77
Ramachandran, Bidhannagar-618183",West Bengal
hina,Female,Indian,95,8821829448,7-12-1927,9000 0000 0000,"093
Bajaj Circle, Silchar-694926",Kerala
yogitatiwari,Male,Indian,43,7516629164,21-6-1979,5600 0000 0000,"51, Shukla Path
Medininagar 925518",Meghalaya
rahul,Female,Indian,60,7097748434,10-2-1962,6220 0000 0000,"24, Majumdar Road
Tenali 792367",Tripura
babita,Male,Indian,19,2033292512,23-2-2003,9750 0000 0000,"886, Chakraborty Road
Kulti-188205",Assam
aslamallam,Male,Indian,38,1734835449,18-7-1984,8650 0000 0000,"H.No. 74
Lanka Street, Kochi-644249",Jharkhand
nilamdevi,Female,Indian,98,6220015920,13-7-1924,4280 0000 0000,"H.No. 74
Dhar Marg, Thiruvananthapuram 380033",Kerala
madan,Male,Indian,21,7861120704,2-3-2001,3160 0000 0000,"H.No. 657
Rout Circle
Erode-893089",West Bengal
mohithimanshu,Female,Indian,5,9550390180,19-4-2017,3940 0000 0000,"H.No. 68, Sabharwal Street
Suryapet 272273",Punjab
deeyakumari,Female,Indian,62,3780271104,13-3-1960,3390 0000 0000,"14/032, Bora Chowk
Yamunanagar-820782",Chhattisgarh
devki,Male,Indian,4,2270306917,24-12-2018,4600 0000 0000,"H.No. 556
Badal Circle, Rohtak 370594",Uttar Pradesh
kiran,Female,Indian,77,8361604809,31-7-1945,3300 0000 0000,"194, Sunder Circle
Eluru-036626",Sikkim
shyanidevi,Male,Indian,3,8029478041,4-2-2019,5010 0000 0000,"105
Kant Nagar
Rajpur Sonarpur 362024",Goa
chanderpal,Male,Indian,49,1813693660,27-7-1973,8790 0000 0000,"29/83
Konda Path
Sambhal 308849",Goa
laybanoor,Female,Indian,59,8884233113,5-10-1963,1710 0000 0000,"998
Agrawal Path
Jehanabad 662974",Mizoram
pooranchand,Female,Indian,5,6563102402,28-2-2017,1310 0000 0000,"57/55, Hora Nagar, Akola 216801",Punjab
nankuprasad,Male,Indian,75,6577595665,21-1-1947,5760 0000 0000,"634, Bera Marg, Bhatpara 929730",Bihar
imamudeen,Male,Indian,46,3354031811,12-11-1976,9690 0000 0000,"H.No. 863, Chaudhuri Road
Hazaribagh-634837",Gujarat
santosh,Female,Indian,2,9595108076,17-4-2020,5620 0000 0000,"30/381
Sinha Path
Ambarnath-601515",Manipur
aarti,Male,Indian,97,3679129722,25-12-1925,6920 0000 0000,"H.No. 319, Dara Ganj, Satara 372876",Uttarakhand
priyanandani,Female,Indian,93,7689776005,16-4-1929,3620 0000 0000,"H.No. 464
Buch Nagar, Dehradun-937761",Punjab
abhishek,Male,Indian,11,4490292101,10-7-2011,5240 0000 0000,"17/186, Srinivasan Path
Kavali 707657",Meghalaya
suman,Female,Indian,98,8012648320,25-3-1924,1260 0000 0000,"23
Talwar Circle, Ongole-011406",Manipur
ramvati,Female,Indian,50,2771474974,19-7-1972,4720 0000 0000,"H.No. 00
Chauhan, Raiganj 989327",Andhra Pradesh
akashgupta,Male,Indian,90,5381519060,1-1-1932,3960 0000 0000,"H.No. 34
Kara Ganj
Jamalpur-647146",Tamil Nadu
mamta,Female,Indian,97,6577181719,6-8-1925,8050 0000 0000,"32, Verma Circle
Dibrugarh-648525",Maharashtra
shalu,Male,Indian,75,5305626087,4-10-1947,7370 0000 0000,"H.No. 84
Gopal Chowk, Mysore 100917",Himachal Pradesh
sharatchandran,Male,Indian,63,1369051142,2-2-1959,6720 0000 0000,"096
Din Circle
Bally-579630",Gujarat
usha,Male,Indian,65,9554259433,6-2-1957,4220 0000 0000,"56, Raj Chowk
Gangtok 290104",Manipur
barjraj,Female,Indian,13,7482052659,9-8-2009,6290 0000 0000,"05/049
Arora Chowk
Ahmednagar-594213",Punjab
sahil,Male,Indian,99,6148665816,23-11-1923,8910 0000 0000,"H.No. 28
Upadhyay Street, Madurai-914452",Bihar
shivkumari,Female,Indian,100,7438817745,7-11-1922,9920 0000 0000,"H.No. 76
Thakkar Path, Kalyan-Dombivli 325112",Bihar
priyakirav,Female,Indian,27,7382531966,24-5-1995,9920 0000 0000,"16/34
Reddy Path
Adoni-034419",Andhra Pradesh
sunilkumar,Male,Indian,62,8700607279,14-7-1960,2660 0000 0000,"766, Sahota Chowk, Nangloi Jat-379283",Chhattisgarh
vandana,Male,Indian,94,3451531335,4-5-1928,4120 0000 0000,"78/67
Taneja Marg
Aizawl 503001",Meghalaya
anubhavshrivastab,Male,Indian,10,9891401051,11-2-2012,4800 0000 0000,"84/870, Shetty Chowk
Jehanabad 820117",Odisha
neha,Female,Indian,19,8391511579,22-5-2003,7430 0000 0000,"69, Sur Street
Tezpur 703895",Bihar
pawankumar,Male,Indian,30,5240668336,6-5-1992,2850 0000 0000,"51/86, Luthra Marg
Barasat 444665",Karnataka
mohitmaan,Male,Indian,78,9054823531,12-10-1944,8720 0000 0000,"H.No. 904
Raju Street, Korba-953772",Odisha
dineshkumar,Male,Indian,44,3379695826,1-10-1978,4640 0000 0000,"236, Loke Circle
Coimbatore-232328",Meghalaya
nitukumari,Female,Indian,95,7727664233,23-1-1927,7780 0000 0000,"78
Lad Road
Gaya-735961",Odisha
shakshi,Male,Indian,3,7819777513,10-8-2019,3680 0000 0000,"88/68, Sathe Ganj
Khandwa-658215",Telangana
sandeep,Female,Indian,77,2668383103,6-8-1945,5540 0000 0000,"39, Rao Zila
Jamnagar-247578",Nagaland
vishalmoni,Female,Indian,36,1608392508,18-7-1986,6440 0000 0000,"26, Gade Marg, Hosur 834727",Nagaland
kavita,Male,Indian,62,9989613757,21-9-1960,8130 0000 0000,"H.No. 91, Aggarwal Zila
Singrauli 087782",Sikkim
sumit,Female,Indian,86,4579193479,18-1-1936,4860 0000 0000,"H.No. 84, Sagar Street, Aurangabad 921190",Uttarakhand
pooja,Female,Indian,38,9648767325,10-11-1984,3570 0000 0000,"614, Goda
Gulbarga 880183",Rajasthan
rakesh,Female,Indian,94,6845461866,9-10-1928,1360 0000 0000,"H.No. 101
Krishnan Nagar
Pimpri-Chinchwad 675441",Manipur
rohit,Female,Indian,57,7141028400,30-1-1965,8590 0000 0000,"69/143, Saha Road
Amaravati 014992",Telangana
nisha,Female,Indian,37,4726952007,17-7-1985,7970 0000 0000,"93/99
Bhasin Nagar, Amroha 021941",Bihar
vijay,Female,Indian,20,7683991198,7-2-2002,1600 0000 0000,"H.No. 272, Sengupta, Ranchi 360025",Uttar Pradesh
satyadev,Male,Indian,43,6241862602,27-12-1979,3900 0000 0000,"190
Rana Ganj, Firozabad 957688",Meghalaya
rustamshah,Female,Indian,31,5103909342,3-9-1991,8440 0000 0000,"174
Mand Marg
Bhiwandi-583092",Mizoram
santna,Male,Indian,17,9345587334,8-8-2005,2690 0000 0000,"54/510
Dubey Road
Jhansi 941367",Uttarakhand
rahul,Female,Indian,13,7283669055,3-7-2009,2850 0000 0000,"H.No. 78, Sodhi
Moradabad 678811",Rajasthan
chahat,Male,Indian,54,2471406122,4-1-1968,1700 0000 0000,"H.No. 563
Kata Street, Ranchi 683093",Goa
fooljhnah,Male,Indian,52,2327410312,31-1-1970,8910 0000 0000,"98/907, Loke Street
Katni-673316",Goa
sunita,Male,Indian,5,7162273632,16-3-2017,7580 0000 0000,"H.No. 487
Behl Zila
Mehsana-047967",Assam
heenazamilakhtar,Female,Indian,90,3146356309,10-3-1932,7680 0000 0000,"H.No. 51
Raman Zila, Dehri-396058",Mizoram
sarbjeetronak,Female,Indian,35,1778537299,16-11-1987,9890 0000 0000,"02/792
Chandran Nagar
Guntakal 718005",Sikkim
yogesh,Male,Indian,76,6409318736,15-11-1946,8010 0000 0000,"061
Mane Road, Bhind 350081",Odisha
salima,Female,Indian,84,2208686038,24-6-1938,9150 0000 0000,"782
Kulkarni Zila, Hospet-508332",Punjab
rohitkumar,Female,Indian,64,3776040322,28-11-1958,6840 0000 0000,"82/51
Walia Street, Mirzapur 418367",Karnataka
pooja,Male,Indian,72,3754415006,29-4-1950,3850 0000 0000,"H.No. 101
Dhar Marg, Shahjahanpur-369571",Tamil Nadu
deep,Male,Indian,46,7231199221,16-11-1976,5420 0000 0000,"038, Behl Marg, Panipat 711534",Telangana
sandhya,Female,Indian,67,5298663260,5-7-1955,3640 0000 0000,"073
Shanker Nagar
Burhanpur 468698",Kerala
durga,Male,Indian,81,1530903067,11-7-1941,1760 0000 0000,"36, Sachdeva Street
Malegaon 758440",Manipur
chanchal,Female,Indian,33,4704648226,16-5-1989,5350 0000 0000,"H.No. 385, Gade Marg, Mango 131024",Assam
ravinderbacchi,Female,Indian,76,6821477158,25-6-1946,4610 0000 0000,"39, Upadhyay Street
Bathinda-862495",West Bengal
jyoti,Female,Indian,59,7517627643,25-10-1963,5570 0000 0000,"61/02
Mahal Nagar, Firozabad 473634",Uttar Pradesh
suraj,Female,Indian,80,2548303864,5-5-1942,7430 0000 0000,"73/678, Sama Circle, Dibrugarh-386012",Goa
ramduttgupta,Female,Indian,88,4242775852,18-6-1934,7510 0000 0000,"265, Ahuja Chowk, Karaikudi 678197",Haryana
sohni,Female,Indian,87,8581110233,3-3-1935,9100 0000 0000,"H.No. 612, Chakraborty Chowk, Katni-090262",Jharkhand
preeti,Male,Indian,38,6816608125,16-4-1984,3950 0000 0000,"37
Khalsa Marg
Nashik 218514",West Bengal
sangeeta,Female,Indian,92,9472375185,2-10-1930,1370 0000 0000,"381
Vora Path
Panvel 721595",Sikkim
abhishekh,Male,Indian,4,2158952865,15-1-2018,9970 0000 0000,"H.No. 241
Khurana Road, Bidar-224828",Goa
iqra,Male,Indian,73,8100528031,2-12-1949,4360 0000 0000,"H.No. 304
Karnik Chowk
Mathura-002357",Sikkim
sonyjha,Male,Indian,41,4927400425,25-9-1981,3990 0000 0000,"H.No. 221, Sampath Road
Bhalswa Jahangir Pur-827949",Gujarat
rajkumarchawla,Female,Indian,58,1846810546,29-7-1964,6220 0000 0000,"H.No. 62, Bhavsar Chowk, Salem-100648",Tamil Nadu
arindra,Male,Indian,25,4946009421,3-9-1997,4910 0000 0000,"H.No. 740, Sachar Marg
Satna 563849",Madhya Pradesh
ankit,Male,Indian,38,5235615596,25-2-1984,5280 0000 0000,"97
Sarkar Chowk
Rajkot-923481",Madhya Pradesh
jyoti,Female,Indian,28,6309476555,5-6-1994,9390 0000 0000,"H.No. 40
Singhal Circle
Jalandhar-666392",Meghalaya
ramsingh,Male,Indian,99,6231198270,23-10-1923,9930 0000 0000,"H.No. 110
Rajan Zila
Amravati-640125",Tripura
sunderpaal,Male,Indian,15,7770217031,24-5-2007,7950 0000 0000,"H.No. 419
D’Alia Zila, Tirupati 569303",Tripura
vimla,Female,Indian,5,4342215437,2-12-2017,5740 0000 0000,"47/759
Barad Marg
Mathura 042040",Andhra Pradesh
kirandevi,Male,Indian,16,1913159232,27-2-2006,1070 0000 0000,"H.No. 43, Sehgal, Sirsa-680247",Haryana
sonia,Male,Indian,54,5997136221,22-3-1968,7510 0000 0000,"205
Ray Chowk, Ambarnath-828178",Tripura
seemakhatun,Female,Indian,61,9032370772,7-12-1961,6910 0000 0000,"02/75, Andra Circle, Kanpur-397880",Haryana
amardeep,Male,Indian,70,6423511516,5-9-1952,8290 0000 0000,"46
Bhardwaj Zila, Bareilly-196780",Punjab
sapna,Female,Indian,71,2106544850,9-1-1951,4300 0000 0000,"119, Yadav Nagar
Anantapuram-433528",Gujarat
mdmustafa,Female,Indian,53,5064727450,12-2-1969,2290 0000 0000,"H.No. 091
Manda Marg, Tadipatri 779343",Madhya Pradesh
kalicharan,Male,Indian,33,1603827119,18-4-1989,6340 0000 0000,"067, Dugal Street, Surendranagar Dudhrej 362036",Chhattisgarh
arti,Male,Indian,17,1837215627,16-1-2005,9180 0000 0000,"H.No. 541
Sodhi Zila, Dharmavaram 344944",Uttarakhand
sunita,Female,Indian,30,7359185351,15-10-1992,3760 0000 0000,"H.No. 30
Yadav Circle
Bhilwara-207007",Tamil Nadu
amarjeet,Female,Indian,29,6810175425,13-6-1993,3870 0000 0000,"34/859, Grewal Street
Gudivada 022786",Nagaland
durgesh,Male,Indian,29,4600424468,19-8-1993,8130 0000 0000,"H.No. 86, Sehgal Ganj, Siliguri 927133",Arunachal Pradesh
amitkumar,Male,Indian,17,4526363732,8-2-2005,4150 0000 0000,"993, Sanghvi Marg, North Dumdum-316249",Telangana
khadaksingh,Female,Indian,52,5402113437,16-11-1970,5110 0000 0000,"05/53, Sami Chowk, Bhopal-093423",Madhya Pradesh
neelam,Female,Indian,11,6471890760,15-9-2011,1050 0000 0000,"887
Guha Circle
Madurai-495664",Madhya Pradesh
ramkumar,Male,Indian,71,6511963643,2-10-1951,3400 0000 0000,"H.No. 54, Aurora Chowk
North Dumdum-898232",Goa
meenuchawla,Female,Indian,87,5008664302,15-6-1935,3600 0000 0000,"H.No. 99
Kothari Street
Rajkot-392764",Nagaland
khursid,Female,Indian,100,8738204829,18-3-1922,8030 0000 0000,"519
Balay Ganj, Tadipatri-424049",Tripura
himanshiroshani,Female,Indian,3,1295547678,27-6-2019,5220 0000 0000,"H.No. 796
Upadhyay Marg
Bhiwani 691080",Bihar
pooja,Male,Indian,25,8047952889,29-7-1997,4240 0000 0000,"77/07, Thakur Zila
Nandyal 671790",Maharashtra
Anushkagupta,Female,Indian,69,2114000489,17-7-1953,6950 0000 0000,"79
Rau Ganj, Amroha-421105",Andhra Pradesh
priyansi,Male,Indian,26,9048441749,3-10-1996,2840 0000 0000,"H.No. 590
Tak Ganj
Bellary-205982",Odisha
kuldeepsingh,Male,Indian,44,6566926365,15-7-1978,8040 0000 0000,"77/381, Shan Road, Bellary-614554",Himachal Pradesh
anuradha,Male,Indian,84,8585538291,5-3-1938,8520 0000 0000,"212, Kapoor Path, Srikakulam-764385",Meghalaya
parveen,Male,Indian,71,5671697896,3-7-1951,8400 0000 0000,"631
Tella Circle
Erode 610683",Sikkim
aakash,Female,Indian,53,2765544550,2-2-1969,2630 0000 0000,"57
Kapoor Zila, Serampore 520443",Uttarakhand
deepak,Female,Indian,19,5993333514,7-10-2003,4950 0000 0000,"H.No. 68, Sachdev Circle
Bally 232688",Goa
kesharansari,Male,Indian,48,2271851795,19-7-1974,3850 0000 0000,"32
Hayer Zila
Bhatpara 961216",Madhya Pradesh
pankajkumar,Male,Indian,77,6529724480,6-8-1945,1240 0000 0000,"H.No. 511
Sarin Marg, Buxar-723630",Telangana
dollyrekha,Female,Indian,49,3411005360,27-3-1973,3370 0000 0000,"562
Sant Circle
Guna-935053",Karnataka
phoolwatiphoolodevi,Male,Indian,36,3359786462,24-10-1986,6440 0000 0000,"H.No. 506, Sachar Zila
Karaikudi-747630",Jharkhand
gajendersinghgoldy,Female,Indian,1,9113335675,11-4-2021,6160 0000 0000,"499, Singh, Ballia 699271",Haryana
babalusen,Male,Indian,68,9580142972,18-9-1954,2730 0000 0000,"94
Behl Street, Bettiah-159990",Maharashtra
bharat,Male,Indian,72,2452643482,21-11-1950,8970 0000 0000,"529, Dara Chowk
Khammam 679301",West Bengal
anitadevi,Male,Indian,10,9873189146,1-3-2012,2610 0000 0000,"433, Mann Nagar
Dhanbad-129563",Jharkhand
sumit,Female,Indian,43,4239007626,6-3-1979,5240 0000 0000,"H.No. 22, Seshadri Marg
Sasaram-104163",Arunachal Pradesh
aashiya,Female,Indian,97,1669953441,30-9-1925,3010 0000 0000,"270
Bhat Circle
Purnia 454881",Jharkhand
neerajkumar,Male,Indian,49,7438586288,16-3-1973,5900 0000 0000,"073, Sood Zila
Bhiwandi-888172",Tripura
roshni,Female,Indian,89,7602018271,15-5-1933,9350 0000 0000,"63/77
Kaur Zila
Raebareli-720924",Himachal Pradesh
hemant,Female,Indian,50,3356948216,22-12-1972,5040 0000 0000,"H.No. 801, Tank Nagar
North Dumdum 601515",Tamil Nadu
pooranchandsharma,Male,Indian,19,9786845969,8-4-2003,5190 0000 0000,"81, Wable Circle, Jammu 335680",Manipur
akhilesh,Female,Indian,1,5129233916,13-4-2021,7260 0000 0000,"00/88, Malhotra Path, Mathura-632473",Andhra Pradesh
rajeev,Male,Indian,86,6559431142,4-6-1936,2380 0000 0000,"543
Shere Road
Bidhannagar 613615",Uttarakhand
sanjay,Female,Indian,55,8378630116,10-4-1967,2410 0000 0000,"67/591
Baral Circle
Mau-652972",Uttarakhand
arunvicky,Female,Indian,37,1749786059,4-8-1985,8890 0000 0000,"H.No. 02, Dixit Marg, Meerut 742000",Manipur
azaruddin,Male,Indian,100,2329291438,8-9-1922,2490 0000 0000,"57/656, Bhatti Circle
Barasat-723692",Himachal Pradesh
meena,Male,Indian,41,5198820638,15-4-1981,2310 0000 0000,"80, Banerjee Nagar
Mumbai-731182",Nagaland
nikhleshwarbhagat,Female,Indian,46,5353652259,29-4-1976,4800 0000 0000,"81/50
Mand Road, Nanded-100569",Chhattisgarh
sujenmanjhi,Male,Indian,1,8656943926,30-6-2021,9920 0000 0000,"H.No. 52, Sheth Ganj, Ozhukarai-034153",Rajasthan
kalyanipatro,Male,Indian,59,5917665428,7-4-1963,4580 0000 0000,"63/25, Thaman, Imphal-999475",Jharkhand
chandershaker,Male,Indian,78,1738941031,24-5-1944,2700 0000 0000,"81, Mallick Path, Kottayam-346303",Kerala
kajal,Female,Indian,88,1177296091,13-7-1934,2820 0000 0000,"H.No. 051
Bala Ganj
Thoothukudi 989002",Bihar
devi,Female,Indian,61,6377923129,25-10-1961,9600 0000 0000,"H.No. 505
Shere Street, Tirunelveli 265956",Manipur
deepak,Female,Indian,53,2798847081,19-7-1969,6770 0000 0000,"96/41
Sachdev Ganj
Dewas 585305",Kerala
jahoorahmedmeer,Male,Indian,26,5487563474,8-3-1996,7930 0000 0000,"82/959, Vaidya Chowk, Mango-098387",Odisha
manisha,Female,Indian,39,6286152073,16-2-1983,6270 0000 0000,"26
Dubey Circle
Salem 838390",Gujarat
sunita,Male,Indian,90,5505612149,28-1-1932,2370 0000 0000,"H.No. 833, Bhattacharyya Nagar, Hazaribagh 230417",Maharashtra
sita,Male,Indian,68,7988614581,20-2-1954,2510 0000 0000,"621, Jhaveri Nagar
Barasat-477221",Sikkim
kausalkumar,Male,Indian,49,1568885061,28-2-1973,2790 0000 0000,"H.No. 11, Venkatesh Path
South Dumdum 381931",Gujarat
avinsh,Female,Indian,54,9696758114,20-12-1968,1600 0000 0000,"97/37, Balakrishnan Circle, Junagadh 420054",Nagaland
bholasarkar,Female,Indian,36,4582551130,6-5-1986,5260 0000 0000,"74/187
Bahri Zila, Darbhanga-962506",Goa
amardeepkaur,Female,Indian,31,8758256226,15-2-1991,6510 0000 0000,"412, Dutt, Shahjahanpur-073649",Tamil Nadu
jamilkhan,Male,Indian,51,6130517866,10-6-1971,9640 0000 0000,"19, Wason, Hindupur 329317",Chhattisgarh
uttamkumarsanki,Male,Indian,20,5038385747,20-8-2002,4120 0000 0000,"H.No. 16
Dixit Ganj
Hajipur 478453",Telangana
devinderchadda,Male,Indian,61,8083141430,8-11-1961,7250 0000 0000,"62/116, Issac Path, Eluru-740219",Tamil Nadu
sachin,Male,Indian,32,4271298081,31-10-1990,8350 0000 0000,"H.No. 06, Brahmbhatt Road
Khora -858535",Uttar Pradesh
deepak,Female,Indian,1,2532933336,23-6-2021,8880 0000 0000,"50/36
Balasubramanian Path
Raebareli-228440",Uttarakhand
md.afsar,Female,Indian,48,3293110529,7-8-1974,5250 0000 0000,"85/34
Sem Nagar
Medininagar 922735",Goa
rajbir,Female,Indian,18,5448341249,13-2-2004,8880 0000 0000,"H.No. 55, Aggarwal Chowk, Gandhinagar-699446",Nagaland
ajaykumar,Female,Indian,19,1264926513,25-1-2003,2120 0000 0000,"06/46, Jha Ganj
Farrukhabad-508195",Andhra Pradesh
kuldeepsingh,Female,Indian,95,9481133814,30-11-1927,5570 0000 0000,"H.No. 079, Vig Road
Tenali 071483",Punjab
poojaprajapatipratibha,Male,Indian,5,1914189705,6-12-2017,2650 0000 0000,"308, Rana Ganj
Pune 722456",Manipur
beeru,Female,Indian,65,8247897003,30-3-1957,5800 0000 0000,"13/781, Mane Ganj, Panihati-059484",Maharashtra
pooja,Female,Indian,95,8634208315,9-10-1927,5250 0000 0000,"58/387
Sethi Circle
Yamunanagar-543176",Andhra Pradesh
jyoti,Male,Indian,86,9133409394,3-9-1936,7330 0000 0000,"H.No. 09
Bahl Marg, Fatehpur 981283",Uttarakhand
gumansinghbasyal,Female,Indian,70,4729132978,5-11-1952,6400 0000 0000,"83/86
Gala Chowk
Saharsa 673770",Chhattisgarh
priyanka,Male,Indian,92,7767432946,5-12-1930,9380 0000 0000,"371
Sangha Marg, Moradabad-022459",Punjab
kalawati,Male,Indian,20,8471147937,14-8-2002,8910 0000 0000,"H.No. 668
Bedi, Dindigul 951632",Maharashtra
koshal,Male,Indian,32,1156031065,17-1-1990,9700 0000 0000,"58/510, Wable Ganj
Bardhaman-255495",Meghalaya
meena,Male,Indian,3,8185580213,11-10-2019,3650 0000 0000,"H.No. 32, Vig Marg, Kottayam 447907",Goa
isha,Female,Indian,60,4753030473,25-5-1962,3830 0000 0000,"87/797
Ramesh Chowk, Varanasi 657814",Maharashtra
yashmittal,Male,Indian,86,6533693858,20-1-1936,2980 0000 0000,"H.No. 58, Sarraf Chowk, Begusarai 267140",Rajasthan
asmakhatun,Female,Indian,17,6175120859,22-6-2005,3270 0000 0000,"06/81
Dey Nagar
Phusro-257099",West Bengal
kranti,Female,Indian,13,6608235065,30-3-2009,1500 0000 0000,"910
Tara
Kolhapur 141387",Telangana
harshdagar,Male,Indian,33,7766499286,18-10-1989,3150 0000 0000,"18
Bandi Nagar
Ghaziabad-802876",Karnataka
anju,Female,Indian,88,6324602260,25-8-1934,6500 0000 0000,"H.No. 184
Kamdar Circle
Bijapur 290329",Chhattisgarh
karinakavita,Male,Indian,62,1266295377,2-10-1960,8830 0000 0000,"53/743
Mandal Circle, Nagercoil-023403",Gujarat
rishi,Male,Indian,82,3154371467,10-6-1940,1430 0000 0000,"37/59
Tank Ganj
Fatehpur 456612",Sikkim
laxmidevi,Male,Indian,37,3096409564,11-2-1985,4810 0000 0000,"H.No. 509
Bhargava Zila
Bettiah 204376",Maharashtra
